profile,module,result_source,scenario_id,category,subclass,success,completion_step,evidence_type,evidence_path,source_config,log_candidates
full,full,baseline,M4_17,M,M4,True,3,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M4_17/run_M4_17.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M4_17.json,1
full,full,baseline,M4_18,M,M4,True,3,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M4_18/run_M4_18.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M4_18.json,1
full,full,baseline,M4_19,M,M4,True,2,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M4_19/run_M4_19.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M4_19.json,1
full,full,baseline,M4_20,M,M4,True,8,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M4_20/run_M4_20.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M4_20.json,1
full,full,baseline,P1_01,P,P1,True,0,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/p_class/P1_01/run_P1_01.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P1_01.json,1
full,full,baseline,P1_02,P,P1,True,0,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/p_class/P1_02/run_P1_02.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P1_02.json,1
full,full,baseline,P1_03,P,P1,False,,no_success_evidence,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P1_03.json,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P1_03.json,0
full,full,baseline,P1_04,P,P1,False,,no_success_evidence,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P1_04.json,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P1_04.json,0
full,full,baseline,P1_05,P,P1,True,0,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/p_class/P1_05/run_P1_05.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P1_05.json,1
full,full,baseline,P2_06,P,P2,False,,no_success_evidence,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P2_06.json,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P2_06.json,0
